sample	station	molecule	type	distance
ULSoil_01	soil01	DNA	soil	NA
ULSoil_02	soil02	DNA	soil	NA
ULSoil_03	soil03	DNA	soil	NA
UL_01_DNA	UL01	DNA	water	0
UL_01_cDNA	UL01	RNA	water	0
UL_02_DNA	UL02	DNA	water	25
UL_02_cDNA	UL02	RNA	water	25
UL_03_DNA	UL03	DNA	water	50
UL_03_cDNA	UL03	RNA	water	50
UL_04_DNA	UL04	DNA	water	75
UL_04_cDNA	UL04	RNA	water	75
UL_05_DNA	UL05	DNA	water	100
UL_05_cDNA	UL05	RNA	water	100
UL_06_DNA	UL06	DNA	water	125
UL_06_cDNA	UL06	RNA	water	125
UL_07_DNA	UL07	DNA	water	150
UL_07_cDNA	UL07	RNA	water	150
UL_08_DNA	UL08	DNA	water	175
UL_08_cDNA	UL08	RNA	water	175
UL_09_DNA	UL09	DNA	water	200
UL_09_cDNA	UL09	RNA	water	200
UL_10_DNA	UL10	DNA	water	225
UL_10_cDNA	UL10	RNA	water	225
UL_11_DNA	UL11	DNA	water	250
UL_11_cDNA	UL11	RNA	water	250
UL_12_DNA	UL12	DNA	water	275
UL_12_cDNA	UL12	RNA	water	275
UL_13_DNA	UL13	DNA	water	300
UL_13_cDNA	UL13	RNA	water	300
UL_14_DNA	UL14	DNA	water	325
UL_14_cDNA	UL14	RNA	water	325
UL_15_DNA	UL15	DNA	water	350
UL_15_cDNA	UL15	RNA	water	350
UL_16_DNA	UL16	DNA	water	375
UL_16_cDNA	UL16	RNA	water	375
UL_17_DNA	UL17	DNA	water	300
UL_17_cDNA	UL17	RNA	water	300
UL_18_DNA	UL18	DNA	water	325
UL_18_cDNA	UL18	RNA	water	325
